post_id,group_b,u_stat,p_value,p_bonferroni,significant
38a336d5-dfa7-4211-88d6-6368c4b9b840,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,3640.5,0.8293688082475155,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,9f5c7820-074d-4dc8-b3b7-7471147d07f1,2659.5,0.06186282811165292,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,a03f5521-872d-4ed0-bd8b-b6331f559c2d,301.5,0.010448586631464064,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,b4b5482a-31db-4470-8bab-990fa169aadd,3475.0,4.012310802218216e-05,0.009268437953124079,True
38a336d5-dfa7-4211-88d6-6368c4b9b840,c532ced8-5890-4879-b545-bd3cf75a65ee,2314.0,0.002998378156538269,0.6926253541603401,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,900.5,0.04106839601180068,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,2684.0,0.5890639216578966,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,f92250dd-b7bc-4af7-8d55-79ade4af5198,2229.5,0.10086763253657717,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,fb9f496a-17de-4fa3-9d8b-c464152258fb,2572.0,0.17548589828574146,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,fbb54109-bdf2-4043-b4b3-74884f13ee13,402.5,0.1917757096747421,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,70d71186-1584-4fe7-9011-8da9023d99c5,575.0,0.5025603757056707,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,1468.0,0.013174204872818927,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,95598338-58a5-4158-a0dc-d278051de7e4,1275.0,0.027387856334685955,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,961575fd-2c8d-4377-8996-bd0cfc14c2f8,1169.0,0.9764960476072203,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,1658.0,0.001580553970707593,0.365107967233454,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,2096.0,0.0022854877317406526,0.5279476660320908,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1495.0,4.079502908639447e-05,0.009423651718957123,True
64d4b72b-9f28-4485-89b5-3c660ba6d56a,a03f5521-872d-4ed0-bd8b-b6331f559c2d,199.0,0.44390442778042505,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,b4b5482a-31db-4470-8bab-990fa169aadd,2181.0,0.802382512482869,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,c532ced8-5890-4879-b545-bd3cf75a65ee,1424.0,0.7477508594003175,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,552.0,0.739592742084189,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,1537.0,0.001987163670632538,0.4590348079161163,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,f92250dd-b7bc-4af7-8d55-79ade4af5198,1330.0,0.1917017642434068,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,fb9f496a-17de-4fa3-9d8b-c464152258fb,1523.0,0.10482067013118142,1.0,False
64d4b72b-9f28-4485-89b5-3c660ba6d56a,fbb54109-bdf2-4043-b4b3-74884f13ee13,245.0,0.718693935978828,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,683.0,0.17876471245192926,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,95598338-58a5-4158-a0dc-d278051de7e4,592.5,0.2512956563831199,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,961575fd-2c8d-4377-8996-bd0cfc14c2f8,533.5,0.47752779926681155,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,774.0,0.05595902518507689,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,977.0,0.08398572736535885,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,9f5c7820-074d-4dc8-b3b7-7471147d07f1,701.5,0.0039971831713215816,0.9233493125752853,False
70d71186-1584-4fe7-9011-8da9023d99c5,a03f5521-872d-4ed0-bd8b-b6331f559c2d,89.5,0.25637166994932514,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,b4b5482a-31db-4470-8bab-990fa169aadd,993.5,0.3452786716574603,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,c532ced8-5890-4879-b545-bd3cf75a65ee,652.0,0.6593410111197954,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,253.0,0.7802600768537539,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,717.5,0.0601644597282711,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,f92250dd-b7bc-4af7-8d55-79ade4af5198,614.0,0.714191338642804,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,fb9f496a-17de-4fa3-9d8b-c464152258fb,704.5,0.5471104051942797,1.0,False
70d71186-1584-4fe7-9011-8da9023d99c5,fbb54109-bdf2-4043-b4b3-74884f13ee13,112.5,0.9279167088884375,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,95598338-58a5-4158-a0dc-d278051de7e4,1125.0,0.8419281480662855,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,961575fd-2c8d-4377-8996-bd0cfc14c2f8,969.0,0.010002103742217263,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,1485.5,0.5037719245265702,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,1868.5,0.7055702332142768,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1362.5,0.0638161995968014,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,a03f5521-872d-4ed0-bd8b-b6331f559c2d,156.5,0.022965850575518195,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,b4b5482a-31db-4470-8bab-990fa169aadd,1796.0,0.0016083829022825718,0.37153645042727407,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,c532ced8-5890-4879-b545-bd3cf75a65ee,1194.0,0.020695822331751032,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,464.5,0.09119624068501654,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,1377.0,0.5150535687842699,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,f92250dd-b7bc-4af7-8d55-79ade4af5198,1147.5,0.22294555489648837,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,fb9f496a-17de-4fa3-9d8b-c464152258fb,1323.0,0.3362601209707151,1.0,False
71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,fbb54109-bdf2-4043-b4b3-74884f13ee13,207.5,0.2659466461059248,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,961575fd-2c8d-4377-8996-bd0cfc14c2f8,877.5,0.021870154696544037,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,1335.0,0.39251034453834843,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,1680.0,0.5589778383438664,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1222.5,0.04533049451340609,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,a03f5521-872d-4ed0-bd8b-b6331f559c2d,142.5,0.03499088594657726,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,b4b5482a-31db-4470-8bab-990fa169aadd,1627.5,0.004991370688645455,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,c532ced8-5890-4879-b545-bd3cf75a65ee,1080.0,0.042754657386351834,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,420.0,0.13793472847351515,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,1237.5,0.4039303672564797,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,f92250dd-b7bc-4af7-8d55-79ade4af5198,1035.0,0.3293520202637735,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,fb9f496a-17de-4fa3-9d8b-c464152258fb,1192.5,0.4713659986736308,1.0,False
95598338-58a5-4158-a0dc-d278051de7e4,fbb54109-bdf2-4043-b4b3-74884f13ee13,187.5,0.3326013564597138,1.0,False
961575fd-2c8d-4377-8996-bd0cfc14c2f8,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,1843.0,0.001070941731470762,0.24738753996974602,False
961575fd-2c8d-4377-8996-bd0cfc14c2f8,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,2330.0,0.0015107677047924255,0.34898733980705027,False
961575fd-2c8d-4377-8996-bd0cfc14c2f8,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1661.5,2.518516506130885e-05,0.005817773129162344,True
961575fd-2c8d-4377-8996-bd0cfc14c2f8,a03f5521-872d-4ed0-bd8b-b6331f559c2d,221.5,0.4504927601248232,1.0,False
961575fd-2c8d-4377-8996-bd0cfc14c2f8,b4b5482a-31db-4470-8bab-990fa169aadd,2426.5,0.8262247267653435,1.0,False
